time,ax,ay,az,fx,fy,fz,tx,ty,tz
9011,-0.629485,0,-9.53082,-0.953724,-0.673966,-4.83678,-0.278436,-0.262028,0.000953883
9012,-0.632045,0,-9.52964,-0.942139,-0.678226,-4.8479,-0.277215,-0.259424,0.00149188
9013,-0.634604,0,-9.52846,-0.929242,-0.682969,-4.85677,-0.276062,-0.257632,0.00189738
9014,-0.637162,0,-9.52728,-0.917579,-0.687584,-4.86448,-0.275033,-0.256251,0.00210909
9015,-0.639718,0,-9.52611,-0.908798,-0.693961,-4.87093,-0.274283,-0.254946,0.00248427
9016,-0.642273,0,-9.52493,-0.899552,-0.698873,-4.87369,-0.273682,-0.25434,0.00240285
9017,-0.644827,0,-9.52375,-0.892329,-0.702143,-4.87711,-0.273238,-0.253714,0.00239735
9018,-0.647379,0,-9.52257,-0.886628,-0.704009,-4.88093,-0.272851,-0.253032,0.00240276
9019,-0.649929,0,-9.5214,-0.882502,-0.70518,-4.88203,-0.27266,-0.253014,0.0022725
9020,-0.652479,0,-9.52022,-0.882626,-0.705357,-4.88281,-0.272847,-0.253282,0.00238025
9021,-0.655026,0,-9.51904,-0.885208,-0.705025,-4.87962,-0.273222,-0.254237,0.00250696
9022,-0.657573,0,-9.51787,-0.890221,-0.704352,-4.8731,-0.273876,-0.255903,0.00240846
9023,-0.660118,0,-9.51669,-0.896058,-0.702316,-4.86602,-0.274658,-0.2578,0.00206801
9024,-0.662661,0,-9.51551,-0.903846,-0.698995,-4.8577,-0.275585,-0.259905,0.00205888
9025,-0.665203,0,-9.51434,-0.911963,-0.695524,-4.84919,-0.276688,-0.262052,0.00170159
9026,-0.667744,0,-9.51316,-0.92151,-0.691117,-4.8439,-0.277623,-0.263187,0.00136256
9027,-0.670283,0,-9.51199,-0.929871,-0.686064,-4.83871,-0.27849,-0.264139,0.000440367
9028,-0.672821,0,-9.51081,-0.939615,-0.679754,-4.83578,-0.279286,-0.264477,-0.000409957
9029,-0.675358,0,-9.50964,-0.950669,-0.672009,-4.83277,-0.280152,-0.265187,-0.00101152
9030,-0.677893,0,-9.50847,-0.9623,-0.664942,-4.82779,-0.281098,-0.266175,-0.00175972
9031,-0.680427,0,-9.50729,-0.974669,-0.659896,-4.81744,-0.282071,-0.268162,-0.00243184
9032,-0.682959,0,-9.50612,-0.98907,-0.654418,-4.80889,-0.282855,-0.270164,-0.00230461
9033,-0.68549,0,-9.50495,-1.00319,-0.650355,-4.79631,-0.283932,-0.272793,-0.00216959
9034,-0.688019,0,-9.50377,-1.01787,-0.641355,-4.78861,-0.284727,-0.275102,-0.00111024
9035,-0.690547,0,-9.5026,-1.03108,-0.634414,-4.77475,-0.285518,-0.279436,-0.000374418
9036,-0.693074,0,-9.50143,-1.04638,-0.631394,-4.75827,-0.286886,-0.282816,-0.00150453
9037,-0.695599,0,-9.50026,-1.06377,-0.623878,-4.75315,-0.288068,-0.283038,-0.00261887
9038,-0.698123,0,-9.49909,-1.07568,-0.612112,-4.75265,-0.288976,-0.282074,-0.00351633
9039,-0.700645,0,-9.49791,-1.08296,-0.598341,-4.75762,-0.289471,-0.281546,-0.0043386
9040,-0.703166,0,-9.49674,-1.08943,-0.585469,-4.76399,-0.290427,-0.279689,-0.00685296
9041,-0.705686,0,-9.49557,-1.09975,-0.575504,-4.76695,-0.290545,-0.277812,-0.00803382
