time,r11,r12,r13,r21,r22,r23,r31,r32,r33
1489899,-2.233e-06,-1,3.00452e-06,0.57528,-3.74217e-06,-0.817957,0.817957,-9.80583e-08,0.57528
1499920,-1.87321e-06,-1,2.98775e-06,0.58172,-3.51988e-06,-0.813389,0.813389,2.14383e-07,0.58172
1509759,-2.08802e-06,-1,2.97103e-06,0.58803,-3.63091e-06,-0.808839,0.808839,5.81792e-08,0.58803
1519976,-1.91958e-06,-1,2.95404e-06,0.594343,-3.51656e-06,-0.804212,0.804212,2.11966e-07,0.594343
1530153,-1.24758e-06,-1,2.9368e-06,0.600643,-3.09737e-06,-0.799517,0.799517,7.66512e-07,0.600643
1540199,-2.10909e-06,-1,2.91961e-06,0.606819,-3.60046e-06,-0.79484,0.79484,9.5287e-08,0.606819
1549850,-2.25193e-06,-1,2.90194e-06,0.61307,-3.67321e-06,-0.790029,0.790029,0,0.61307
1560040,-1.71124e-06,-1,2.88432e-06,0.619204,-3.32446e-06,-0.78523,0.78523,4.42258e-07,0.619204
1570179,-1.44613e-06,-1,2.86643e-06,0.625333,-3.14116e-06,-0.780358,0.780358,6.63977e-07,0.625333
1579984,-1.50447e-06,-1,2.84833e-06,0.631433,-3.15865e-06,-0.77543,0.77543,6.3192e-07,0.631433
1590146,-2.34144e-06,-1,2.83021e-06,0.637439,-3.67321e-06,-0.770501,0.770501,1.11022e-16,0.637439
1599702,-2.65135e-06,-1,2.81162e-06,0.643504,-3.85829e-06,-0.765443,0.765443,-2.20169e-07,0.643504
1609974,-2.12209e-06,-1,2.79305e-06,0.649476,-3.50203e-06,-0.760382,0.760382,2.00416e-07,0.649476
1620211,-1.6406e-06,-1,2.77411e-06,0.655468,-3.17043e-06,-0.755223,0.755223,5.79326e-07,0.655468
1629930,-1.7825e-06,-1,2.75484e-06,0.661463,-3.24513e-06,-0.749977,0.749977,4.85393e-07,0.661463
1640070,-2.45145e-06,-1,2.73547e-06,0.667388,-3.67321e-06,-0.74471,0.74471,2.22045e-16,0.667388
1649905,-2.85681e-06,-1,2.71567e-06,0.673352,-3.93139e-06,-0.739322,0.739322,-2.835e-07,0.673352
1660289,-1.91949e-06,-1,2.69606e-06,0.679176,-3.28251e-06,-0.733975,0.733975,4.22237e-07,0.679176
1670076,-1.56931e-06,-1,2.67611e-06,0.685001,-3.02464e-06,-0.728542,0.728542,6.89832e-07,0.685001
1679794,-1.9621e-06,-1,2.656e-06,0.690776,-3.27584e-06,-0.723068,0.723068,4.15966e-07,0.690776
1689848,-3.22922e-06,-1,2.63595e-06,0.696432,-4.14055e-06,-0.717623,0.717623,-4.81596e-07,0.696432
1700077,-2.57903e-06,-1,2.61554e-06,0.702119,-3.67321e-06,-0.712059,0.712059,-3.33067e-16,0.702119
1709805,-1.54481e-06,-1,2.59539e-06,0.707648,-2.92699e-06,-0.706565,0.706565,7.45116e-07,0.707648
1719882,-1.6728e-06,-1,2.57489e-06,0.713176,-2.99796e-06,-0.700985,0.700985,6.63742e-07,0.713176
1730207,-2.25628e-06,-1,2.55428e-06,0.718644,-3.39765e-06,-0.695378,0.695378,2.66651e-07,0.718644
1739790,-3.05492e-06,-1,2.53373e-06,0.724007,-3.95953e-06,-0.689793,0.689793,-2.72821e-07,0.724007
1749887,-2.60741e-06,-1,2.51269e-06,0.729428,-3.62074e-06,-0.684058,0.684058,4.92087e-08,0.729428
1759753,-1.64421e-06,-1,2.49187e-06,0.734709,-2.89845e-06,-0.678382,0.678382,7.15396e-07,0.734709
1769836,-2.09506e-06,-1,2.47065e-06,0.739997,-3.21212e-06,-0.67261,0.67261,4.19118e-07,0.739997
1780098,-2.11431e-06,-1,2.44929e-06,0.745239,-3.20885e-06,-0.666797,0.666797,4.15494e-07,0.745239
1789800,-3.23574e-06,-1,2.428e-06,0.750379,-4.03296e-06,-0.661008,0.661008,-3.16927e-07,0.750379
1799943,-2.5956e-06,-1,2.40619e-06,0.755572,-3.53738e-06,-0.655066,0.655066,1.17761e-07,0.755572
1810159,-2.01502e-06,-1,2.38461e-06,0.760632,-3.08074e-06,-0.649183,0.649183,5.05695e-07,0.760632
1819820,-2.54892e-06,-1,2.36271e-06,0.765677,-3.47141e-06,-0.643226,0.643226,1.69544e-07,0.765677
1829856,-2.17161e-06,-1,2.34071e-06,0.770669,-3.16518e-06,-0.637236,0.637236,4.20084e-07,0.770669
1840076,-3.32827e-06,-1,2.31874e-06,0.775569,-4.04504e-06,-0.631263,0.631263,-3.02665e-07,0.775569
1849775,-3.3584e-06,-1,2.29631e-06,0.780501,-4.05679e-06,-0.625154,0.625154,-3.07245e-07,0.780501
1860048,-2.02175e-06,-1,2.27406e-06,0.785321,-2.99557e-06,-0.619089,0.619089,5.34225e-07,0.785321
1869744,-1.95555e-06,-1,2.25137e-06,0.790153,-2.92507e-06,-0.612909,0.612909,5.80349e-07,0.790153
1879838,-2.44064e-06,-1,2.22836e-06,0.794969,-3.29207e-06,-0.60665,0.60665,2.90866e-07,0.794969
1889831,-2.75771e-06,-1,2.20537e-06,0.799704,-3.52944e-06,-0.600395,0.600395,1.07932e-07,0.799704
1899970,-2.95494e-06,-1,2.18192e-06,0.804457,-3.67321e-06,-0.594011,0.594011,1.66533e-16,0.804457
1910109,-1.49808e-06,-1,2.1586e-06,0.809112,-2.48063e-06,-0.587655,0.587655,8.66199e-07,0.809112
1919708,-2.6774e-06,-1,2.13489e-06,0.813757,-3.41957e-06,-0.581205,0.581205,1.81164e-07,0.813757
1929897,-2.82621e-06,-1,2.11105e-06,0.818353,-3.52609e-06,-0.574716,0.574716,1.03316e-07,0.818353
1939881,-3.51381e-06,-1,2.08731e-06,0.82285,-4.07747e-06,-0.568259,0.568259,-2.79207e-07,0.82285
1950007,-3.03903e-06,-1,2.06318e-06,0.827352,-3.67321e-06,-0.561683,0.561683,0,0.827352
1959967,-2.02451e-06,-1,2.03927e-06,0.83174,-2.816e-06,-0.555165,0.555165,5.72202e-07,0.83174
1970047,-3.19104e-06,-1,2.01505e-06,0.836097,-3.77344e-06,-0.548582,0.548582,-6.57651e-08,0.836097
1979937,-3.37458e-06,-1,1.99076e-06,0.840397,-3.91492e-06,-0.541972,0.541972,-1.55895e-07,0.840397
1990248,-3.58188e-06,-1,1.96654e-06,0.844612,-4.07814e-06,-0.535378,0.535378,-2.56696e-07,0.844612
1999923,-2.87825e-06,-1,1.94194e-06,0.848824,-3.46978e-06,-0.528676,0.528676,1.267e-07,0.848824
2010143,-2.38995e-06,-1,1.91758e-06,0.852922,-3.03949e-06,-0.522038,0.522038,3.87906e-07,0.852922
2020217,-3.25578e-06,-1,1.89288e-06,0.856996,-3.76564e-06,-0.515323,0.515323,-5.55931e-08,0.856996
2029774,-3.34245e-06,-1,1.86812e-06,0.861014,-3.82799e-06,-0.508581,0.508581,-9.14271e-08,0.861014
2039981,-3.47681e-06,-1,1.84342e-06,0.864949,-3.9324e-06,-0.501859,0.501859,-1.50405e-07,0.864949
2049882,-3.47921e-06,-1,1.8183e-06,0.868882,-3.92312e-06,-0.49502,0.49502,-1.4239e-07,0.868882
2060062,-2.1511e-06,-1,1.79343e-06,0.872708,-2.75292e-06,-0.488243,0.488243,5.1488e-07,0.872708
2070135,-3.2196e-06,-1,1.76822e-06,0.87651,-3.67321e-06,-0.481384,0.481384,-5.55112e-17,0.87651
2079731,-3.73668e-06,-1,1.74294e-06,0.880254,-4.11626e-06,-0.474503,0.474503,-2.38835e-07,0.880254
2089895,-3.24681e-06,-1,1.71775e-06,0.883918,-3.67321e-06,-0.467643,0.467643,0,0.883918
2100117,-3.06842e-06,-1,1.69214e-06,0.88757,-3.50296e-06,-0.460673,0.460673,8.8361e-08,0.88757
2110072,-2.79379e-06,-1,1.66681e-06,0.891111,-3.24596e-06,-0.453785,0.453785,2.17536e-07,0.891111
2119748,-3.10641e-06,-1,1.64117e-06,0.894636,-3.51238e-06,-0.446796,0.446796,8.03201e-08,0.894636
2129803,-3.8742e-06,-1,1.61543e-06,0.898109,-4.18988e-06,-0.439773,0.439773,-2.52935e-07,0.898109
2139930,-3.77883e-06,-1,1.58963e-06,0.901511,-4.09458e-06,-0.432757,0.432757,-2.02242e-07,0.901511
2150083,-3.32389e-06,-1,1.56339e-06,0.904901,-3.67321e-06,-0.425621,0.425621,-1.66533e-16,0.904901
2159853,-2.74869e-06,-1,1.5373e-06,0.908197,-3.13978e-06,-0.418543,0.418543,2.45727e-07,0.908197
2170234,-3.34799e-06,-1,1.5111e-06,0.911462,-3.67321e-06,-0.411384,0.411384,5.55112e-17,0.911462
2180050,-3.8392e-06,-1,1.48481e-06,0.914666,-4.11176e-06,-0.404211,0.404211,-1.93741e-07,0.914666
2189807,-3.68296e-06,-1,1.45844e-06,0.917801,-3.95929e-06,-0.397042,0.397042,-1.23734e-07,0.917801
2199928,-3.67035e-06,-1,1.43169e-06,0.920918,-3.9381e-06,-0.389757,0.389757,-1.12077e-07,0.920918
2210109,-2.93845e-06,-1,1.40506e-06,0.923943,-3.25244e-06,-0.382531,0.382531,1.74143e-07,0.923943
2219738,-3.40482e-06,-1,1.37828e-06,0.926934,-3.67321e-06,-0.375225,0.375225,-5.55112e-17,0.926934
2230066,-3.79902e-06,-1,1.35145e-06,0.92986,-4.02977e-06,-0.367912,0.367912,-1.41049e-07,0.92986
