time,r11,r12,r13,r21,r22,r23,r31,r32,r33
2214942,-2.31376e-05,-1,1.39029e-06,0.925522,-2.19408e-05,-0.378693,0.378693,-7.47529e-06,0.925522
2225017,-5.04076e-05,-1,1.24952e-05,0.928596,-5.14451e-05,-0.371093,0.371093,-7.10287e-06,0.928596
2235057,-3.92257e-05,-1,8.60846e-06,0.931533,-3.96705e-05,-0.363657,0.363657,-6.24565e-06,0.931533
2245167,-5.56435e-05,-1,1.55597e-05,0.934374,-5.75357e-05,-0.356295,0.356295,-5.2869e-06,0.934374
2255297,-5.84253e-05,-1,1.5238e-05,0.937149,-6.00702e-05,-0.34893,0.34893,-6.10602e-06,0.937149
2264842,-5.09292e-05,-1,1.15045e-05,0.939815,-5.17949e-05,-0.341683,0.341683,-6.58957e-06,0.939815
2274974,-4.86574e-05,-1,1.12565e-05,0.942461,-4.96209e-05,-0.334315,0.334315,-5.65812e-06,0.942461
2285089,-4.81209e-05,-1,1.10095e-05,0.945034,-4.90757e-05,-0.326973,0.326973,-5.32982e-06,0.945034
2295095,-5.92751e-05,-1,1.39573e-05,0.947552,-6.0627e-05,-0.319603,0.319603,-5.7192e-06,0.947552
2305250,-5.83873e-05,-1,1.36359e-05,0.950001,-5.97258e-05,-0.312247,0.312247,-5.27711e-06,0.950001
2314825,-5.89576e-05,-1,1.33191e-05,0.952355,-6.02108e-05,-0.304993,0.304993,-5.29717e-06,0.952355
2325272,-5.95278e-05,-1,1.29932e-05,0.95471,-6.06978e-05,-0.297539,0.297539,-5.30713e-06,0.95471
2335254,-5.87766e-05,-1,1.26689e-05,0.956992,-5.99242e-05,-0.290115,0.290115,-4.928e-06,0.956992
2345159,-5.8491e-05,-1,1.2341e-05,0.959236,-5.95943e-05,-0.282606,0.282606,-4.69197e-06,0.959236
2355089,-4.97024e-05,-1,9.2652e-06,0.961394,-5.03331e-05,-0.275177,0.275177,-4.76944e-06,0.961394
2365007,-5.02149e-05,-1,9.02086e-06,0.963445,-5.0796e-05,-0.267906,0.267906,-4.76178e-06,0.963445
2375114,-4.94566e-05,-1,8.77013e-06,0.965486,-5.00339e-05,-0.260456,0.260456,-4.41383e-06,0.965486
2384837,-4.94626e-05,-1,8.52247e-06,0.967442,-5.00091e-05,-0.253094,0.253094,-4.2737e-06,0.967442
2395183,-5.91621e-05,-1,1.0723e-05,0.96939,-5.99839e-05,-0.245526,0.245526,-4.13111e-06,0.96939
2404816,-5.89825e-05,-1,1.03863e-05,0.971312,-5.97603e-05,-0.23781,0.23781,-3.93834e-06,0.971312
2414924,-5.9435e-05,-1,1.00509e-05,0.973164,-6.01528e-05,-0.230112,0.230112,-3.89546e-06,0.973164
2425097,-5.93826e-05,-1,9.70924e-06,0.974982,-6.00551e-05,-0.222282,0.222282,-3.73331e-06,0.974982
2435217,-4.97868e-05,-1,7.22574e-06,0.976716,-5.01778e-05,-0.214536,0.214536,-3.62354e-06,0.976716
2445008,-4.99883e-05,-1,6.9585e-06,0.978426,-5.03475e-05,-0.206597,0.206597,-3.51907e-06,0.978426
2455171,-5.03312e-05,-1,6.69176e-06,0.980067,-5.06574e-05,-0.198666,0.198666,-3.44075e-06,0.980067
2464994,-5.08867e-05,-1,6.42968e-06,0.981614,-5.11784e-05,-0.190876,0.190876,-3.40157e-06,0.981614
2474914,-5.14402e-05,-1,6.16478e-06,0.98311,-5.16996e-05,-0.183016,0.183016,-3.35375e-06,0.98311
2485005,-4.99655e-05,-1,5.90572e-06,0.98451,-5.0227e-05,-0.175328,0.175328,-2.9461e-06,0.98451
2495043,-5.08741e-05,-1,5.64276e-06,0.985867,-5.11004e-05,-0.167531,0.167531,-2.95995e-06,0.985867
2504828,-5.08691e-05,-1,5.38313e-06,0.987144,-5.10756e-05,-0.159834,0.159834,-2.81669e-06,0.987144
2515163,-5.13891e-05,-1,5.12542e-06,0.988352,-5.15706e-05,-0.152183,0.152183,-2.75485e-06,0.988352
2525123,-5.14645e-05,-1,4.8632e-06,0.989519,-5.16273e-05,-0.1444,0.1444,-2.61921e-06,0.989519
2534881,-5.13573e-05,-1,4.60517e-06,0.990608,-5.15046e-05,-0.136731,0.136731,-2.46023e-06,0.990608
2545175,-5.20153e-05,-1,4.34469e-06,0.991644,-5.21412e-05,-0.129001,0.129001,-2.40164e-06,0.991644
2555181,-5.12808e-05,-1,4.08756e-06,0.992607,-5.13978e-05,-0.121372,0.121372,-2.16671e-06,0.992607
2565114,-4.15202e-05,-1,2.68977e-06,0.993525,-4.1557e-05,-0.113617,0.113617,-2.04505e-06,0.993525
2574953,-3.86765e-05,-1,2.50347e-06,0.99439,-3.87243e-05,-0.105774,0.105774,-1.60154e-06,0.99439
2584923,-2.26195e-05,-1,1.34077e-06,0.995179,-2.26419e-05,-0.0980768,0.0980768,-8.84138e-07,0.995179
2595007,-2.07602e-05,-1,1.23247e-06,0.995928,-2.07867e-05,-0.0901559,0.0901559,-6.44204e-07,0.995928
2605124,-1.97868e-05,-1,1.12392e-06,0.996614,-1.98122e-05,-0.0822185,0.0822185,-5.06725e-07,0.996614
2615225,-1.97953e-05,-1,1.01563e-06,0.997236,-1.9816e-05,-0.074302,0.074302,-4.58009e-07,0.997236
2624993,-1.96833e-05,-1,9.04763e-07,0.997807,-1.97e-05,-0.0661965,0.0661965,-4.00186e-07,0.997807
2635103,-1.88272e-05,-1,7.95289e-07,0.998306,-1.88416e-05,-0.0581862,0.0581862,-3.01544e-07,0.998306
