time,fx,fy,fz,tx,ty,tz
374517,-1.25676,-1.08232,9.43047,0.424876,-1.16924,-0.155581
375955,0.269856,-1.1928,9.56302,0.433256,-1.0674,-0.158361
377390,0.907853,-1.09503,9.61426,0.423855,-1.03801,-0.15892
378820,1.16048,-1.19094,9.28554,0.435484,-1.0154,-0.15971
380249,0.533504,-0.791131,9.37268,0.413247,-1.03249,-0.156294
381653,-0.982834,-0.675304,9.2655,0.398539,-1.14213,-0.156207
383127,-1.26747,-0.895542,9.23865,0.420029,-1.13586,-0.158279
384541,-1.50818,-0.750622,9.62408,0.404394,-1.18768,-0.15623
385965,0.245139,-0.98289,9.51076,0.418197,-1.06497,-0.159709
387419,1.02087,-1.26235,9.6098,0.443253,-1.03805,-0.159801
388828,1.50313,-0.976934,9.39682,0.412715,-0.991532,-0.159859
390261,0.504646,-0.926053,9.34383,0.421121,-1.03571,-0.157112
391692,-0.959234,-0.806211,9.23362,0.407474,-1.13268,-0.158158
393128,-1.64124,-0.596508,9.28433,0.399528,-1.16129,-0.15719
394566,-1.88455,-0.846441,9.37891,0.413406,-1.19229,-0.155657
395963,-0.6423,-0.925518,9.41394,0.416619,-1.11812,-0.159309
397421,-0.080621,-1.08298,9.50829,0.425816,-1.08182,-0.159941
398876,0.007287,-1.08549,9.52444,0.427862,-1.07096,-0.158725
400310,-0.553379,-0.854174,9.58701,0.413406,-1.09818,-0.158379
401723,-1.3644,-0.866901,9.57368,0.411772,-1.1524,-0.1581
403137,-1.18571,-0.898819,9.58146,0.41972,-1.14252,-0.158033
404596,-0.717896,-0.784709,9.7266,0.405715,-1.12515,-0.157513
406034,0.091419,-1.15322,9.61943,0.430243,-1.0743,-0.161627
407471,0.517862,-1.16437,9.56386,0.428615,-1.04993,-0.160032
408908,0.208686,-0.858963,9.67825,0.408544,-1.06321,-0.157902
410314,-0.472213,-0.94295,9.52665,0.423657,-1.0966,-0.15942
411768,-1.22792,-0.69133,9.67502,0.401823,-1.14377,-0.158446
413206,-1.53001,-0.715832,9.76264,0.407918,-1.16518,-0.159167
414596,-0.917838,-0.831569,9.92453,0.411186,-1.13975,-0.159866
416028,0.226179,-0.785684,9.96177,0.405055,-1.07971,-0.161572
417461,1.26794,-1.16012,9.86885,0.435139,-1.01581,-0.160754
418900,1.43817,-0.943129,9.8713,0.41946,-0.999476,-0.159598
420322,0.77343,-0.907478,9.68452,0.415951,-1.02759,-0.16075
421805,-0.602527,-0.868469,9.51872,0.416815,-1.10294,-0.159236
423247,-1.64637,-0.624358,9.55654,0.395728,-1.17256,-0.158436
424697,-1.58252,-0.816298,9.52139,0.412681,-1.16307,-0.158835
426110,-0.796308,-0.817121,9.68741,0.408301,-1.14564,-0.160158
427537,0.871993,-1.10048,9.68459,0.42273,-1.02704,-0.161888
428963,1.02806,-1.29246,9.47541,0.446158,-1.03166,-0.158316
