time,a_x,a_y,a_z,F_x,F_y,F_z,T_x,T_y,T_z,z_1,z_2,z_3,z_4,z_5,z_6
89883,1.00273,0.0706424,0.0148982,-0.22941,-0.945738,10.129,0.427089,-1.09663,-0.148354,8.93847,-0.29986,10.2652,0.39867,-0.693245,-0.148354
90248,1.00273,0.0706424,0.0149229,-0.227767,-0.936793,10.124,0.426879,-1.09665,-0.148445,8.94011,-0.290915,10.2605,0.39846,-0.693261,-0.148445
91702,1.00273,0.0706424,0.0149476,-0.248885,-0.928518,10.1247,0.426707,-1.09697,-0.148522,8.91899,-0.28264,10.2614,0.398288,-0.693586,-0.148522
91869,1.00774,0.0669446,0.0141439,-0.248885,-0.928518,10.1248,0.426707,-1.09697,-0.148522,8.96478,-0.316448,10.2541,0.399776,-0.691571,-0.148522
93112,1.00774,0.0669446,0.0141686,-0.282077,-0.931149,10.1296,0.42674,-1.09761,-0.148407,8.93159,-0.319079,10.2591,0.399809,-0.692212,-0.148407
94534,1.00774,0.0669446,0.0141933,-0.276825,-0.950099,10.1287,0.426984,-1.09779,-0.148415,8.93684,-0.33803,10.2585,0.400053,-0.692393,-0.148415
95896,0.996756,0.0661371,0.0149877,-0.276825,-0.950099,10.1287,0.426984,-1.09779,-0.148415,8.83643,-0.345413,10.2658,0.400378,-0.696811,-0.148415
95971,0.996756,0.0661371,0.0150124,-0.247773,-0.954607,10.1298,0.426974,-1.09774,-0.14834,8.86548,-0.349921,10.2671,0.400368,-0.696756,-0.14834
97437,0.996756,0.0661371,0.0150371,-0.199041,-0.937581,10.1236,0.426806,-1.09716,-0.148323,8.91422,-0.332895,10.2611,0.400199,-0.696174,-0.148323
98847,0.996756,0.0661371,0.0150617,-0.179398,-0.910033,10.1133,0.42653,-1.09697,-0.148372,8.93386,-0.305347,10.2511,0.399923,-0.695991,-0.148372
99878,0.995757,0.0736339,0.0143138,-0.179398,-0.910033,10.1134,0.42653,-1.09697,-0.148372,8.92473,-0.236804,10.2442,0.396907,-0.696392,-0.148372
99983,0.995757,0.0736339,0.0143138,-0.179398,-0.910033,10.1134,0.42653,-1.09697,-0.148372,8.92473,-0.236804,10.2442,0.396907,-0.696392,-0.148372
100273,0.995757,0.0736339,0.0143273,-0.156446,-0.883054,10.0994,0.425961,-1.09657,-0.148372,8.94768,-0.209825,10.2304,0.396339,-0.695984,-0.148372
101690,0.995757,0.0736339,0.0143408,-0.173886,-0.879814,10.0846,0.425665,-1.09662,-0.148308,8.93024,-0.206585,10.2157,0.396043,-0.696035,-0.148308
103164,0.995757,0.0736339,0.0143543,-0.203188,-0.883164,10.0775,0.425529,-1.09695,-0.148532,8.90094,-0.209935,10.2087,0.395907,-0.696371,-0.148532
103781,0.995369,0.0637745,0.0139322,-0.203188,-0.883164,10.0775,0.425529,-1.09695,-0.148532,8.89739,-0.300079,10.2049,0.399873,-0.696528,-0.148532
104567,0.995369,0.0637745,0.0139457,-0.210299,-0.889895,10.0763,0.425446,-1.09703,-0.148472,8.89028,-0.30681,10.2038,0.39979,-0.696609,-0.148472
106011,0.995369,0.0637745,0.0139592,-0.189298,-0.9051,10.0664,0.425445,-1.09696,-0.148344,8.91128,-0.322015,10.194,0.399789,-0.696536,-0.148344
107447,0.995369,0.0637745,0.0139727,-0.136982,-0.89408,10.0721,0.425244,-1.0962,-0.148375,8.9636,-0.310995,10.1998,0.399588,-0.695771,-0.148375
107705,0.992254,0.0616292,0.0234544,-0.136982,-0.89408,10.0721,0.425244,-1.0962,-0.148375,8.93512,-0.330609,10.2865,0.400451,-0.697025,-0.148375
108871,0.992254,0.0616292,0.0234679,-0.0982478,-0.886105,10.0692,0.425205,-1.09584,-0.148534,8.97385,-0.322634,10.2838,0.400412,-0.696668,-0.148534
110189,0.992254,0.0616292,0.0234679,-0.0982478,-0.886105,10.0692,0.425205,-1.09584,-0.148534,8.97385,-0.322634,10.2838,0.400412,-0.696668,-0.148534
110301,0.992254,0.0616293,0.0234703,-0.0574008,-0.871909,10.0686,0.424969,-1.095,-0.148329,9.0147,-0.308437,10.2832,0.400176,-0.695826,-0.148329
111696,0.982101,0.061738,0.0225477,-0.0574008,-0.871909,10.0686,0.424969,-1.095,-0.148329,8.92187,-0.307444,10.2748,0.400132,-0.69991,-0.148329
111719,0.982101,0.0617381,0.0225501,-0.0573238,-0.87608,10.0704,0.425034,-1.09473,-0.148275,8.92195,-0.311614,10.2765,0.400198,-0.699646,-0.148275
113152,0.982101,0.0617382,0.0225524,-0.0981988,-0.889342,10.0632,0.424942,-1.09484,-0.148185,8.88107,-0.324874,10.2694,0.400106,-0.699747,-0.148185
114600,0.982101,0.0617383,0.0225548,-0.155296,-0.902157,10.074,0.425203,-1.09538,-0.147965,8.82397,-0.337688,10.2802,0.400366,-0.700295,-0.147965
115609,0.978149,0.0652018,0.0220599,-0.155296,-0.902157,10.074,0.425203,-1.09538,-0.147965,8.78784,-0.306022,10.2757,0.398973,-0.701885,-0.147965
116027,0.978149,0.0652019,0.0220623,-0.1882,-0.900391,10.0705,0.425059,-1.09572,-0.147871,8.75493,-0.304254,10.2722,0.398829,-0.70222,-0.147871
117442,0.978149,0.0652021,0.0220647,-0.166476,-0.901527,10.0691,0.425079,-1.09562,-0.147941,8.77666,-0.30539,10.2709,0.398849,-0.702124,-0.147941
118885,0.978149,0.0652022,0.022067,-0.122105,-0.887402,10.0726,0.424885,-1.095,-0.147933,8.82103,-0.291264,10.2743,0.398655,-0.701507,-0.147933
119542,0.982669,0.0659543,0.0213455,-0.122105,-0.887402,10.0726,0.424885,-1.095,-0.147933,8.86236,-0.284387,10.2677,0.398352,-0.699688,-0.147933
119853,0.982669,0.0659543,0.0213455,-0.122105,-0.887402,10.0726,0.424885,-1.095,-0.147933,8.86236,-0.284387,10.2677,0.398352,-0.699688,-0.147933
120338,0.982669,0.0659542,0.0213174,-0.0842577,-0.88755,10.0706,0.42464,-1.09451,-0.148149,8.90021,-0.284536,10.2655,0.398108,-0.699191,-0.148149
121789,0.982669,0.065954,0.0212894,-0.0756194,-0.898408,10.0809,0.424861,-1.09414,-0.148128,8.90885,-0.295396,10.2755,0.398328,-0.698824,-0.148128
123210,0.982669,0.0659539,0.0212614,-0.13359,-0.91505,10.0823,0.424943,-1.09453,-0.148093,8.85088,-0.312039,10.2767,0.398411,-0.699217,-0.148093
123480,0.974217,0.067839,0.0199911,-0.13359,-0.915051,10.0823,0.424943,-1.09453,-0.148093,8.7736,-0.294804,10.2651,0.397652,-0.702618,-0.148093
124612,0.974217,0.0678389,0.0199631,-0.219792,-0.936349,10.0907,0.425289,-1.09534,-0.148013,8.68739,-0.316103,10.2733,0.397999,-0.703429,-0.148013
126049,0.974217,0.0678388,0.019935,-0.316465,-0.93778,10.0953,0.425374,-1.09651,-0.147902,8.59072,-0.317536,10.2776,0.398083,-0.704593,-0.147902
127443,0.970892,0.0651826,0.0192788,-0.316465,-0.93778,10.0953,0.425374,-1.09651,-0.147902,8.56032,-0.341821,10.2715,0.399151,-0.70593,-0.147902
127492,0.970892,0.0651825,0.0192508,-0.407854,-0.936451,10.1032,0.425507,-1.09798,-0.148055,8.46893,-0.340493,10.2792,0.399285,-0.707404,-0.148055
128925,0.970892,0.0651823,0.0192227,-0.443823,-0.935032,10.1089,0.425513,-1.09896,-0.148177,8.43296,-0.339075,10.2846,0.399291,-0.708385,-0.148177
130007,0.970892,0.0651823,0.0192227,-0.443823,-0.935032,10.1089,0.425513,-1.09896,-0.148177,8.43296,-0.339075,10.2846,0.399291,-0.708385,-0.148177
130345,0.970892,0.0651822,0.0191711,-0.420445,-0.940261,10.1157,0.425696,-1.09926,-0.148041,8.45634,-0.344306,10.2909,0.399474,-0.708685,-0.148041
131354,1.00291,0.0646114,0.0179531,-0.420445,-0.940261,10.1156,0.425696,-1.09926,-0.148041,8.74904,-0.349524,10.2798,0.399703,-0.695806,-0.148041
131780,1.00291,0.0646112,0.0179015,-0.389048,-0.949812,10.1261,0.425857,-1.09922,-0.148376,8.78043,-0.359077,10.2898,0.399865,-0.695763,-0.148376
133217,1.00291,0.064611,0.0178498,-0.400364,-0.970942,10.1376,0.426259,-1.09963,-0.148461,8.76912,-0.380209,10.3008,0.400267,-0.696173,-0.148461
134633,1.00291,0.0646108,0.0177982,-0.46197,-0.972022,10.1468,0.426385,-1.10075,-0.148487,8.70751,-0.38129,10.3095,0.400393,-0.697292,-0.148487
135295,1.00396,0.0719496,0.0125737,-0.46197,-0.972022,10.1467,0.426385,-1.10075,-0.148487,8.71714,-0.314192,10.2617,0.39744,-0.696868,-0.148487
136065,1.00396,0.0719494,0.012522,-0.545699,-0.953867,10.155,0.426332,-1.10223,-0.148379,8.63341,-0.29604,10.2695,0.397387,-0.698353,-0.148379
137507,1.00396,0.0719492,0.0124704,-0.615462,-0.945799,10.1552,0.426237,-1.10376,-0.14857,8.56365,-0.287973,10.2692,0.397293,-0.699881,-0.14857
138945,1.00396,0.071949,0.0124187,-0.630241,-0.938777,10.1611,0.426139,-1.1049,-0.14866,8.54887,-0.280953,10.2746,0.397195,-0.701022,-0.14866
139205,1.00437,0.0712413,0.00969329,-0.630241,-0.938778,10.1611,0.426139,-1.1049,-0.14866,8.55265,-0.287424,10.2497,0.397479,-0.700856,-0.14866
139717,1.00437,0.0712413,0.00969329,-0.630241,-0.938778,10.1611,0.426139,-1.1049,-0.14866,8.55265,-0.287424,10.2497,0.397479,-0.700856,-0.14866
140373,1.00437,0.0712414,0.00959641,-0.571012,-0.944469,10.165,0.426226,-1.1049,-0.148467,8.61188,-0.293114,10.2527,0.397566,-0.700852,-0.148467
141828,1.00437,0.0712415,0.00949954,-0.509669,-0.958291,10.1722,0.426327,-1.10468,-0.148441,8.67322,-0.306935,10.2591,0.397667,-0.700633,-0.148441
143137,1.04025,0.0710875,0.00900519,-0.509669,-0.958291,10.1721,0.426327,-1.10468,-0.148441,9.00121,-0.308343,10.2545,0.397729,-0.686201,-0.148441
143268,1.04025,0.0710876,0.00890831,-0.489229,-0.975143,10.1796,0.426649,-1.10457,-0.148488,9.02165,-0.325194,10.261,0.398051,-0.686089,-0.148488
144673,1.04025,0.0710878,0.00881144,-0.552254,-0.976918,10.1895,0.426926,-1.10567,-0.148321,8.95863,-0.326969,10.2701,0.398328,-0.687188,-0.148321
146112,1.04025,0.0710879,0.00871456,-0.641765,-0.966607,10.1924,0.42683,-1.10721,-0.148253,8.86912,-0.316656,10.2721,0.398233,-0.688729,-0.148253
147077,1.02692,0.0743071,0.00722528,-0.641765,-0.966607,10.1923,0.42683,-1.10721,-0.148253,8.74732,-0.287223,10.2584,0.396938,-0.694088,-0.148253
147544,1.02692,0.0743072,0.0071284,-0.732728,-0.963124,10.1988,0.426688,-1.10895,-0.14823,8.65635,-0.283739,10.264,0.396795,-0.695834,-0.14823
148967,1.02692,0.0743073,0.00703153,-0.753135,-0.959673,10.2025,0.426658,-1.11027,-0.148073,8.63595,-0.280288,10.2668,0.396765,-0.69715,-0.148073
