time,ax,ay,az
2279166,-0.894775,0.107666,-0.15918
2283122,-1.14478,0.107666,-0.15918
2287085,0.0236816,0.371826,0.687988
2290988,0.0236816,-1.20605,-0.0749512
2294937,-1.34058,-1.20605,-0.0749512
2298925,-1.21582,-1.56616,-0.240723
2302842,-1.21582,-0.44751,0.608398
2306804,-0.615967,-0.44751,0.608398
2310744,-1.08398,-0.0134277,-0.0634766
2314682,-1.08398,-0.251465,0.238525
2318625,-0.689453,-0.251465,0.238525
2322566,-1.00928,-0.489746,-0.0837402
2326485,-1.00928,-0.530273,-0.111328
2330411,-1.07178,-0.530273,-0.111328
2334365,-0.848877,-0.399658,0.188477
2338328,-0.848877,-0.418213,-0.159424
2342307,-0.947998,0.0192871,-0.159424
2346209,-0.841309,-0.137695,0.103027
2350160,-0.841309,-0.177734,-0.0810547
2354118,-1.00391,-0.365234,-0.0810547
2358033,-0.974121,-0.535156,0.12207
2361981,-0.974121,-0.535156,0.126953
2365925,-0.890137,-0.132568,0.126953
2369824,-0.893311,-0.00024414,0.0617676
2373767,-0.893311,-0.00024414,0.282715
2377710,-0.894287,-0.122803,0.282715
2381675,-1.01855,-0.397217,0.106445
2385571,-1.01855,-0.397217,0.2229
2389526,-0.885254,-0.181641,0.2229
2393429,-0.989258,0.0141602,-0.00415039
2397359,-0.989258,0.0141602,-0.0319824
2401309,-0.860596,-0.050293,0.155518
2405256,-0.86084,-0.236816,0.0864258
2409272,-0.98584,-0.236816,0.0749512
2413212,-0.973633,-0.166748,-0.0500488
2417155,-0.9729,-0.0390625,-0.0170898
2421079,-0.9104,-0.0390625,-0.0249023
2425042,-1.0022,-0.0969238,-0.0874023
2428934,-1.03223,-0.190186,0.13208
2432874,-0.907227,-0.190186,0.13208
2436830,-0.978027,-0.202393,-0.0236816
2440766,-0.960693,-0.160889,0.0151367
2444712,-0.960693,-0.160889,0.0151367
2448647,-0.941895,-0.104736,0.12207
2452615,-0.941895,-0.16333,0.198242
2456521,-0.941406,-0.16333,0.198242
2460479,-0.946289,-0.286865,0.199463
2464439,-0.946289,-0.145508,0.0561523
2468346,-0.99585,-0.145508,0.0561523
2472290,-0.921387,-0.181396,0.170654
2476233,-0.921387,-0.0759277,0.140869
2480178,-0.942871,-0.0759277,0.140869
2484124,-0.977539,-0.341553,0.0725098
2488096,-0.977539,-0.348633,0.00878906
2492019,-0.964844,-0.161133,0.00878906
2495935,-0.948975,-0.121582,0.00561523
2499903,-0.948975,-0.0825195,0.0629883
2503843,-0.931885,-0.14502,0.0629883
2507810,-1.01343,-0.31543,-0.0678711
2511751,-1.01343,-0.356934,-0.0383301
2515668,-0.945801,-0.169434,-0.0383301
2519679,-0.958496,-0.0700684,0.0180664
2523614,-0.958496,-0.0700684,0.170654
2527584,-0.933105,-0.137451,0.170654
2531492,-0.969238,-0.236328,0.120605
2535431,-0.969238,-0.236328,0.0390625
2539366,-0.984131,-0.190186,0.0390625
2543318,-0.94458,-0.117432,0.149902
2547244,-0.94458,-0.117432,0.224365
2551185,-0.935059,-0.0744629,0.224365
2555119,-0.94458,-0.134033,0.188965
2559050,-0.94458,-0.134033,0.208496
2563034,-0.991455,-0.220947,0.0209961
2566977,-0.958252,-0.0834961,0.0288086
2570903,-0.958252,-0.0834961,0.0297852
2574827,-0.930176,-0.00732422,0.0922852
2578788,-0.894775,-0.0585938,0.0649414
2582761,-0.957275,-0.0585938,0.064209
2586697,-0.981201,-0.223633,-0.060791
2590596,-0.993164,-0.110352,-0.0776367
2594544,-0.993164,-0.110352,-0.0776367
2598487,-0.953369,0.0285645,0.0629883
2602443,-0.953369,-0.00830078,0.117188
2606384,-0.936523,-0.00830078,0.117188
2610324,-0.974365,-0.17041,0.034668
2614230,-0.974365,-0.0947266,0.0400391
2618176,-0.990723,-0.0947266,0.0400391
2622111,-0.970215,-0.0170898,0.173828
2626061,-0.970215,0.0686035,0.238037
2630037,-0.919922,0.0686035,0.238037
2634016,-1.00269,-0.166016,0.0957031
2637943,-1.00269,-0.148926,0.0754395
2641861,-0.966309,-0.0239258,0.0754395
2645794,-0.952637,0.026123,0.141113
2649728,-0.952637,0.0439453,0.145508
2653704,-0.94873,0.0439453,0.145508
2657613,-0.993164,-0.102783,-0.00878906
2661622,-0.993164,-0.123779,-0.0817871
2665602,-0.995361,0.0012207,-0.0817871
2669535,-0.936035,0.0812988,0.0380859
2673476,-0.936035,0.104492,0.0793457
2677435,-0.970947,0.0419922,0.0793457
2681377,-0.992188,-0.0837402,-0.00146484
2685301,-0.992188,-0.0837402,-0.0524902
2689203,-0.970947,0.0424805,-0.0524902
2693145,-0.962402,0.0688477,0.104248
2697102,-0.962402,0.0688477,0.197754
2701031,-0.95752,0.064209,0.197754
2704984,-0.965088,-0.0249023,0.143066
2708911,-0.965088,-0.0249023,0.0520019
2712854,-0.978271,0.0319824,0.0520019
2716763,-0.962646,0.060791,0.143066
2720690,-0.962646,0.060791,0.166016
2724629,-0.943604,0.0341797,0.228516
2728568,-0.953613,0.088623,0.102539
2732511,-0.953613,0.088623,0.0930176
2736447,-0.996094,-0.032959,-0.0319824
2740418,-0.977295,-0.00439453,0.0136719
2744316,-0.977295,-0.00439453,0.0136719
2748259,-0.932861,0.151123,0.0964355
2752170,-0.901123,0.132324,0.0305176
2756089,-0.963623,0.132324,0.0305176
