time,fx,fy,fz,tx,ty,tz
461216,0.126647,-0.952276,9.95859,0.42963,-1.08106,-0.1488
462652,0.168883,-0.907411,9.96438,0.425268,-1.07676,-0.148801
464100,-0.019691,-0.911723,9.99872,0.42505,-1.08566,-0.147477
465531,-0.271365,-0.936088,9.96468,0.429733,-1.1003,-0.1474
466944,-0.486664,-0.885835,9.95643,0.421398,-1.11396,-0.147993
468389,-0.432812,-0.976569,9.90378,0.42902,-1.10795,-0.14844
469826,-0.413666,-0.978842,9.8599,0.430063,-1.10857,-0.147454
471262,-0.350046,-0.89927,9.85554,0.421681,-1.10099,-0.148122
472679,-0.392621,-0.982737,9.75863,0.429964,-1.10375,-0.1486
474113,-0.603572,-0.95663,9.73143,0.427716,-1.11634,-0.147619
475548,-0.725025,-0.899109,9.72294,0.42351,-1.11556,-0.147779
476985,-1.16564,-0.98468,9.72911,0.430153,-1.1445,-0.148261
478433,-1.29704,-0.938727,9.74218,0.424726,-1.14776,-0.149347
479844,-1.40714,-0.932616,9.73797,0.425842,-1.15737,-0.148272
481305,-1.09364,-0.951193,9.70454,0.425609,-1.14155,-0.148202
482721,-0.881218,-0.932189,9.71599,0.425309,-1.12192,-0.148618
484157,-1.03126,-0.978517,9.68714,0.426063,-1.13516,-0.14915
485598,-1.291,-0.864114,9.71094,0.422087,-1.14284,-0.148951
487023,-1.5483,-0.915538,9.74651,0.424928,-1.16306,-0.148313
488459,-1.49065,-0.888083,9.75886,0.422092,-1.15716,-0.149098
489882,-1.20141,-0.914758,9.86203,0.42226,-1.14637,-0.149689
491314,-0.831494,-1.00256,9.8154,0.430573,-1.12449,-0.149231
492747,-0.66985,-0.973979,9.81295,0.428046,-1.11654,-0.149318
494172,-0.776065,-0.968179,9.86033,0.428047,-1.11261,-0.148345
495611,-1.28637,-0.935661,9.80492,0.426083,-1.14892,-0.148371
497067,-1.51609,-0.883472,9.88955,0.421985,-1.15673,-0.148268
498477,-1.7275,-0.931465,9.97805,0.425031,-1.17535,-0.147601
499949,-1.34435,-1.02712,10.0032,0.430373,-1.15143,-0.149306
501408,-0.916653,-1.10661,10.063,0.435643,-1.12818,-0.148117
502780,-0.713283,-1.08298,10.0214,0.433874,-1.12124,-0.148952
504198,-0.56931,-1.03038,9.98868,0.430549,-1.10461,-0.148326
505637,-1.12627,-0.948683,9.96335,0.425507,-1.14356,-0.148301
507066,-1.26249,-0.870026,9.93203,0.419372,-1.14339,-0.148215
508532,-1.37692,-0.980242,9.93795,0.429225,-1.16023,-0.147573
509930,-0.905349,-1.01162,9.94547,0.429487,-1.12725,-0.149045
511360,-0.758618,-0.970366,9.95128,0.425821,-1.12497,-0.148893
512797,-0.511051,-1.01658,9.91865,0.431504,-1.10534,-0.149252
514256,-0.63404,-0.86975,9.926,0.421567,-1.11286,-0.14841
515647,-0.948653,-0.829418,9.95985,0.419207,-1.13209,-0.147981
517088,-1.13384,-0.893298,9.91746,0.423975,-1.1405,-0.147924
518529,-1.03109,-0.903658,9.90888,0.422829,-1.14271,-0.148179
519962,-0.655386,-0.983635,9.84603,0.428797,-1.1134,-0.147553
521385,-0.586437,-0.939344,9.85228,0.428362,-1.11936,-0.148318
522836,-0.440318,-0.832926,9.83871,0.419958,-1.1005,-0.148978
524280,-0.599429,-0.910239,9.7675,0.424754,-1.1182,-0.148393
525723,-0.601057,-0.90356,9.80465,0.425052,-1.10817,-0.148399
527135,-0.859841,-0.894625,9.81579,0.422459,-1.13297,-0.148094
528591,-0.651432,-0.988689,9.82343,0.429833,-1.11916,-0.147892
530025,-0.370145,-0.9489,9.72649,0.425052,-1.10351,-0.148791
531453,-0.168123,-0.93199,9.75618,0.423438,-1.0954,-0.147823
532862,-0.03642,-0.896851,9.66144,0.424974,-1.0841,-0.149007
534292,-0.336084,-0.885787,9.6946,0.424217,-1.10007,-0.149092
535748,-0.656937,-0.970011,9.65415,0.427174,-1.11746,-0.148589
537163,-0.768412,-0.971202,9.72395,0.426672,-1.12715,-0.148623
538610,-0.606993,-0.904023,9.77602,0.423742,-1.11899,-0.147724
