seq,Fx,Fy,Fz,Mx,My,Mz
181,-0.2832,-0.233851,-4.97783,-0.0111561,0.032272,-0.00521694
182,-0.301983,-0.256542,-4.99305,-0.0141366,0.0328433,-0.00370075
183,-0.298043,-0.250553,-4.99103,-0.0121034,0.0339722,-0.0040785
184,-0.28555,-0.240658,-4.98091,-0.0101769,0.0326811,-0.00513777
185,-0.298342,-0.251745,-4.99582,-0.0113716,0.0330278,-0.00432802
186,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
187,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
188,-0.276703,-0.226391,-4.97615,-0.0117973,0.0333838,-0.00678474
189,-0.302988,-0.240491,-4.9905,-0.0135694,0.0329508,-0.00406971
190,-0.29998,-0.240976,-4.98893,-0.012237,0.0335585,-0.00482625
191,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
192,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
193,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
194,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
195,-0.305027,-0.24609,-4.98875,-0.0133222,0.0343032,-0.00374285
196,-0.280181,-0.23435,-4.97626,-0.00981936,0.0328829,-0.00597492
197,-0.298043,-0.250553,-4.99103,-0.0121034,0.0339722,-0.0040785
198,-0.30431,-0.263318,-4.99608,-0.0131588,0.0332498,-0.00362216
199,-0.308253,-0.259342,-4.99218,-0.0130409,0.0341875,-0.00404502
200,-0.297129,-0.254034,-4.99651,-0.0135559,0.0324262,-0.0028987
201,-0.279058,-0.233177,-4.9792,-0.0108154,0.0337962,-0.00670626
202,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
203,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
204,-0.302289,-0.247763,-4.99193,-0.0112545,0.033966,-0.00475086
205,-0.302289,-0.247763,-4.99193,-0.0112545,0.033966,-0.00475086
206,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
207,-0.287138,-0.229865,-4.97392,-0.0110377,0.0332124,-0.0056408
208,-0.299934,-0.248912,-4.99555,-0.0144284,0.0342749,-0.00405411
209,-0.282078,-0.224737,-4.97408,-0.00995033,0.0324647,-0.00672554
210,-0.298043,-0.250553,-4.99103,-0.0121034,0.0339722,-0.0040785
